strain,set_type
CB4856,divergent
CX11314,divergent
DL238,divergent
ED3017,divergent
EG4725,divergent
JT11398,divergent
JU258,divergent
JU775,divergent
LKC34,divergent
MY16,divergent
MY23,divergent
N2,divergent
BRC20067,mapping_1
ECA246,mapping_1
ECA251,mapping_1
CX11271,mapping_1
CX11276,mapping_1
CX11285,mapping_1
DL200,mapping_1
DL226,mapping_1
ECA36,mapping_1
ED3040,mapping_1
ED3048,mapping_1
ED3049,mapping_1
ED3052,mapping_1
JU1088,mapping_1
JU1172,mapping_1
JU1213,mapping_1
JU1242,mapping_1
JU1409,mapping_1
JU1440,mapping_1
JU1568,mapping_1
JU1581,mapping_1
JU2007,mapping_1
JU2466,mapping_1
JU2519,mapping_1
JU311,mapping_1
JU323,mapping_1
JU346,mapping_1
JU360,mapping_1
JU440,mapping_1
JU774,mapping_1
JU830,mapping_1
KR314,mapping_1
MY1,mapping_1
NIC1,mapping_1
NIC199,mapping_1
NIC2,mapping_1
NIC252,mapping_1
NIC256,mapping_1
NIC260,mapping_1
NIC261,mapping_1
NIC274,mapping_1
NIC275,mapping_1
NIC277,mapping_1
NIC3,mapping_1
PB303,mapping_1
QG2075,mapping_1
QX1794,mapping_1
WN2002,mapping_1
AB1,mapping_2
ECA243,mapping_2
CB4854,mapping_2
ECA248,mapping_2
CB4932,mapping_2
ED3005,mapping_2
ED3046,mapping_2
ED3073,mapping_2
ED3077,mapping_2
EG4349,mapping_2
JU1200,mapping_2
JU1212,mapping_2
JU1246,mapping_2
JU1400,mapping_2
JU1530,mapping_2
JU1580,mapping_2
JU1586,mapping_2
JU2001,mapping_2
JU2464,mapping_2
JU2513,mapping_2
JU2522,mapping_2
JU310,mapping_2
JU367,mapping_2
JU393,mapping_2
JU394,mapping_2
JU406,mapping_2
JU778,mapping_2
JU792,mapping_2
JU847,mapping_2
MY10,mapping_2
MY18,mapping_2
NIC166,mapping_2
NIC195,mapping_2
NIC207,mapping_2
NIC236,mapping_2
NIC242,mapping_2
NIC251,mapping_2
NIC255,mapping_2
NIC265,mapping_2
NIC266,mapping_2
NIC271,mapping_2
NIC272,mapping_2
NIC276,mapping_2
ECA259,mapping_2
PX179,mapping_2
QG557,mapping_2
QW947,mapping_2
QX1212,mapping_2
CB4852,mapping_3
ECA250,mapping_3
ECA252,mapping_3
CX11254,mapping_3
CX11262,mapping_3
CX11264,mapping_3
CX11292,mapping_3
CX11307,mapping_3
CX11315,mapping_3
ED3011,mapping_3
ED3012,mapping_3
EG4347,mapping_3
EG4724,mapping_3
EG4946,mapping_3
GXW1,mapping_3
JU1395,mapping_3
JU1491,mapping_3
JU1652,mapping_3
JU1896,mapping_3
JU2316,mapping_3
JU2526,mapping_3
JU397,mapping_3
JU561,mapping_3
JU642,mapping_3
JU751,mapping_3
JU782,mapping_3
LSJ1,mapping_3
NIC231,mapping_3
NIC258,mapping_3
NIC259,mapping_3
NIC262,mapping_3
NIC267,mapping_3
NIC268,mapping_3
NIC269,mapping_3
PS2025,mapping_3
QG536,mapping_3
QG556,mapping_3
QX1211,mapping_3
QX1233,mapping_3
QX1791,mapping_3
QX1792,mapping_3
QX1793,mapping_3
RC301,mapping_3
WN2001,mapping_3
